id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
1,ACV Health Products,Farm,Organic certified operator,Certified-organic producer in Rangiora.,"27 Boys Road, Rangiora, Canterbury",,Rangiora,Canterbury,,,,,,,,FRUIT: Apples (Granny Smith),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
2,Adamson's Apiary,Farm,Organic certified operator,Certified-organic producer in Alexandra.,"151 McPherson Rd, RD 1, Alexandra, Otago",,Alexandra,Otago,,,,,,,,"BEE PRODUCTS: Thyme Honey, Thyme Honey with Polyflora, Clover Honey, Manuka Honey, Kamahi Honey, Multifloral Honey, Beeswax, Pollen Propolis",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
3,Agape Fields Orchard,Farm,Organic certified operator,Certified-organic producer in Te Puke.,"1133c State Highway 2, RD6, Te Puke, New Zealand",,Te Puke,,,,,,,,,"FRUIT: Avocados, Figs",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
4,Agincourt Farms,Farm,Organic certified operator,Certified-organic producer in Road Ohaupo.,"74 Bell Road & 1270 Paterangi, Road Ohaupo",,Road Ohaupo,,,,,,,,,"DAIRY: Raw Milk, Live Cattle,; FEED: Pasture, Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
5,Avalon Farming,Farm,Organic certified operator,Certified-organic producer in Heriot..,"Millers Block - 123 Switzers Road & 379 Dunrobin Road, Heriot.  Deepdell, Heriot.",,Heriot.,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lamb, Wool; FEED: Pasture Based Supplement Feed (Hay and/or Baleage, Silage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
6,Biofarm Products,Farm,Organic certified operator,Certified-organic producer in Palmerston North.,"118 Te Matai Road, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle;; BEEF: Live Cattle;; GOATS;; SHEEP: Sheep & Lambs FEED: Pasture & Pasture based Supplement feed (Hay, Silage & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
7,Bostock Bros,Farm,Organic certified operator,Certified-organic producer in Hastings.,"83 Raukawa Road and 284 Ngatarawa Road, Hastings",,Hastings,,,,,,,,,POULTRY: Meat Chickens,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
8,BB Agriculture,Farm,Organic certified operator,Certified-organic producer in Haumoana.,"263 Clifton Road, Haumoana (475A Clifton Stn)",,Haumoana,,,,,,,,,GRAIN: Maize,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
9,BTK Poultry,Farm,Organic certified operator,Certified-organic producer in Himitangi.,"372 Rangiotu Road, Bainessee; 593 Himitangi Beach Road, Himitangi",,Himitangi,,,,,,,,,"POULTRY: Eggs, Chicken Manure",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
10,Charnwood Trust,Farm,Organic certified operator,Certified-organic producer in Palmerston North.,"973 Fitzherbert East Road, Palmerston North",,Palmerston North,,,,,,,,,"DAIRY: Raw Milk, Live Cattle,; BEEF: Live Cattle, NOP Animals for Meat,; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
11,Cheops Feijoas,Farm,Organic certified operator,Certified-organic producer in Hastings.,"43 Paraire Rd, RD 2, Hastings",,Hastings,,,,,,,,,FRUIT: Feijoas,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
12,CK & SM Dyer,Farm,Organic certified operator,Certified-organic producer in Wyndham.,"187 Wyndham Letterbox Rd, RD, Wyndham",,Wyndham,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lamb, Wool; FEED: Pasture Based Supplement Feed (Baleage, Hay, Silage), ; GRAZING: Dairy Cattle; GRAIN: Barley and Barley Straw",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
13,Crompton Dairies,Farm,Organic certified operator,Certified-organic producer in Patea.,"56 Crompton Road & 80 Whakamara Road, Patea",,Patea,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement feed (Hay & Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
14,Cumming & Co,Farm,Organic certified operator,Certified-organic producer in 165 Ormond Road &.,165 Ormond Road &,,165 Ormond Road &,,,,,,,,,"DAIRY: Raw Milk, Live Cattle ; BEEF: Live Cattle, NOP Animals for Meat; FEED: Pasture Based Supplement Feed",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
15,Daryl Julie Thomas Family Trust,Farm,Organic certified operator,Certified-organic producer in Mossburn.,"100 West Dome Station Road, Mossburn",,Mossburn,,,,,,,,,"GRAZING: Dairy ; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
16,E.E.C.,Farm,Organic certified operator,Certified-organic producer in Stewart Island.,"Bivalve Molluscan Shellfish Marine Farms, Area 1901, Big Glory Bay, Stewart Island",,Stewart Island,,,,,,,,,MOLLUSCS: Green Shell Mussel (Perna Canliculus),organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
17,Estate of TT & WNT Winiata,Farm,Organic certified operator,Certified-organic producer in Rotorua.,"61 Barber Road, Kapenga, Rotorua",,Rotorua,,,,,,,,,BEEF: Live Cattle; GRAZING: Dairy Heifer; FEED: Pasture Based Supplement Feed,organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
18,Farrand Farms,Farm,Organic certified operator,Certified-organic producer in Dargaville.,"132, 516 and 1147 Hoanga Rd, RD4, Dargaville",,Dargaville,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; BEEF: Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
19,Ferndale Properties,Farm,Organic certified operator,Certified-organic producer in Fielding.,"425 Halcombe Road, RD 11, Fielding",,Fielding,,,,,,,,,"GRAZING: Dairy heifers, ; FEED: Pasture, Pasture Based Supplement Feed (Hay, Baleage, Wheat) ; GRAIN: Wheat",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
20,Flip Farm (IG Fyfe),Farm,Organic certified operator,Certified-organic producer in Wanaka.,"193 Maungawera Valley  Road, Wanaka",,Wanaka,,,,,,,,,"BEEF: Live Cattle; SHEEP: Sheep, Lambs, Wool",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
21,"Flipp, WA & AT",Farm,Organic certified operator,Certified-organic producer in Foxton.,"116 Omanuka Rd, RD11, Foxton",,Foxton,,,,,,,,,"DAIRY: Raw Milk, Live Cattle; FEED: Pasture Based Supplement Feed (Hay, Baleage)",organic,AsureQuality Organic,Producer,,https://www.asurequality.com,
