id,name,type,category,description,address,suburb,city_town,region,postcode,lat,lon,phone,email,website,social_links,products,practices_tags,certifications,supply_role,notes,source_urls,last_checked
1,Friends of the Earth Food Co-op & Cafe,Community Food Co-op,Organic Grocer and Cafe,"Community-run organic wholefoods store and cafe, offering bulk groceries and organic produce.","312 Smith Street",Collingwood,Melbourne,Victoria,3066,,,"(03) 9417 4382",food@foe.org.au,https://foefood.org,"https://www.instagram.com/foefoodcoop/ | https://www.facebook.com/foefoodcoop/","Organic groceries; bulk wholefoods; vegan foods; cafe menu items","organic",,Retail,,https://foefood.org,2025-12-09
2,Sage Bulk Wholefoods - Eltham,Organic Bulk Grocery Store,Bulk Wholefoods,"Local zero-plastic grocery store offering organic wholefoods, pantry staples and eco-friendly household goods.","972 Main Road",Eltham,Melbourne,Victoria,3095,,,"0413 919 605",sageeltham@gmail.com,https://sagebulkwholefoods.com.au,,"Organic bulk grains; nuts; spices; pantry staples; cleaning and personal care","organic",,Retail,,https://sagebulkwholefoods.com.au,2025-12-09
3,Sage Bulk Wholefoods - Ivanhoe,Organic Bulk Grocery Store,Bulk Wholefoods,"Local zero-plastic grocery store offering organic wholefoods, pantry staples and eco-friendly household goods.","206 Upper Heidelberg Road",Ivanhoe,Melbourne,Victoria,3079,,,"0482 059 897",sageivanhoe@gmail.com,https://sagebulkwholefoods.com.au,,"Organic bulk grains; nuts; spices; pantry staples; cleaning and personal care","organic",,Retail,,https://sagebulkwholefoods.com.au,2025-12-09
4,Bellarine Wholefoods,Bulk Grocery Store,Bulk Wholefoods,"Sustainable grocery store with zero-waste refills for bulk foods and eco-products.","2/80 Murradoc Road",Drysdale,Bellarine Peninsula,Victoria,3222,,,"0421 640 640",info@bellarinewholefoods.com.au,https://bellarinewholefoods.com.au,"https://www.facebook.com/bellarinewholefoods | https://www.instagram.com/bellarinewholefoods","Bulk grains; nuts; flours; pulses; herbs; spices; oils; vinegars; cleaning products","organic",,Retail,,https://bellarinewholefoods.com.au,2025-12-09
5,Bulk Eats Warehouse,Bulk Grocery/Wholesale,Wholesale Bulk Supplier,"Wholesale bulk-food supplier with click-and-collect/delivery; stocks dry goods, groceries and cleaning supplies.","101 Proximity Drive",Sunshine West,Melbourne,Victoria,3020,,,"(03) 8771 4168",,https://bulkeatswarehouse.com.au,"https://www.facebook.com/BulkEatsWarehouse | https://www.instagram.com/bulkeatswarehouse","Bulk grains; pulses; nuts; canned goods; beverages; cleaning supplies","",,Wholesale; Retail,,https://bulkeatswarehouse.com.au,2025-12-09
6,Queen Victoria Market,Public Market,Food Market,"Iconic Melbourne market with a dedicated organic produce section, offering certified organic fruits, vegetables, dairy, eggs and specialty foods.","513 Elizabeth Street",Melbourne,Melbourne,Victoria,3000,,,"(03) 9320 5822",info@qvm.com.au,https://qvm.com.au,"https://www.facebook.com/QueenVicMarket | https://www.instagram.com/queenvictoriamarket","Organic fruits; vegetables; free-range eggs; dairy; specialty foods","organic",,Retail,,https://qvm.com.au,2025-12-09
7,Coburg Farmers Market,Farmers Market,Farmers Market,"Weekly market (Saturdays) at Coburg Primary School with many certified organic growers; offers fresh seasonal fruit, vegetables, free-range eggs, artisanal breads and baked goods.","Coburg Primary School, 92 Bell Street",Coburg,Melbourne,Victoria,3058,,,"0429 146 627",,https://mfm.com.au,"https://www.facebook.com/CoburgFM | https://www.instagram.com/farmersmarketcoburg","Certified organic fruit and vegetables; free-range meat and eggs; artisanal breads; cheeses","organic","VFMA accredited",Retail,"Bring own bags; plastic bag free",https://mfm.com.au,2025-12-09
8,Gasworks Farmers Market,Farmers Market,Farmers Market,"Monthly market in Albert Park’s Gasworks Arts Park with certified organic fruits, vegetables, dairy and eggs; VFMA-accredited since 2006.","21 Graham Street",Albert Park,Melbourne,Victoria,3206,,,"0419 351 878",info@gasworks.org.au,https://gasworks.org.au,,"Organic vegetables; fruits; dairy; free-range eggs; artisan preserves","organic","VFMA accredited",Retail,,https://gasworks.org.au,2025-12-09
9,Veg Out St Kilda Farmers' Market,Farmers Market,Farmers Market,"Monthly market at Peanut Farm Reserve, St Kilda (first Saturday) with certified organic fruits, vegetables, herbs and other local produce.","Chaucer Street (Peanut Farm Reserve)",St Kilda,Melbourne,Victoria,3182,,,,https://vegoutfarmersmarket.org.au,https://www.facebook.com/VegOutStKilda,"Organic vegetables; herbs; fruits; jams; sauces; gourmet mushrooms","organic","VFMA accredited",Retail,,https://vegoutfarmersmarket.org.au,2025-12-09
10,Bendigo Community Farmers Market,Farmers Market,Farmers Market,"Regional market with many biodynamic and organic vendors offering fruits, vegetables, honey, dairy and meats.","Sidney Myer Place",Bendigo,Bendigo,Victoria,3550,,,,https://www.bendigo.vic.gov.au,,"Organic fruits; vegetables; herbs; honey; eggs; dairy; free-range meats","organic; biodynamic",,Retail,,https://www.bendigo.vic.gov.au,2025-12-09
11,Mornington Peninsula Farmers Market,Farmers Market,Farmers Market,"Monthly Mornington market with certified organic fruits, vegetables, olives and cheese from Peninsula growers.","Main Street",Mornington,Melbourne,Victoria,3931,,,,https://www.facebook.com/morningtonfarmersmarket,,"Organic fruits; seasonal vegetables; olive oils; cheeses; organic baked goods","organic",,Retail,,https://www.facebook.com/morningtonfarmersmarket,2025-12-09
12,Mansfield Farmers Market,Farmers Market,Farmers Market,"Regional market offering organically and sustainably grown produce, including certified organic fruits, vegetables, meats and artisanal goods.","High Street",Mansfield,Mansfield,Victoria,3722,,,,https://www.mansfield.vic.gov.au,,"Certified organic fruits; vegetables; herbs; organic meats; eggs; jams","organic",,Retail,,https://www.mansfield.vic.gov.au,2025-12-09
13,Ballarat Farmers Market,Farmers Market,Farmers Market,"Monthly Ballarat market at Lake Wendouree featuring certified organic seasonal produce, free-range eggs, honey and artisan baked goods.","Lake Wendouree",Ballarat,Ballarat,Victoria,3350,,,,https://www.ballarat.vic.gov.au,,"Organic seasonal fruit and vegetables; free-range eggs; honey; organic bread and baked goods","organic",,Retail,,https://www.ballarat.vic.gov.au,2025-12-09
14,Passionfoods Organic (South Melbourne),Organic Grocery Store,Organic Grocer,"Longstanding organic supermarket (also online) selling fresh organic fruits, vegetables and wholefood groceries.","219 Ferrars Street",South Melbourne,Melbourne,Victoria,3205,,,"(03) 9690 9339",,https://passionfoods.com.au,,"Organic fruit; vegetables; groceries; natural personal care","organic",,Retail,,https://passionfoods.com.au,2025-12-09
15,Replenish for Health (Williamstown),Organic Grocery Store,Organic Grocer,"Organic supermarket in Williamstown selling organic produce, pantry staples and sustainable household products.","34 Douglas Parade",Williamstown,Melbourne,Victoria,3016,,,"(03) 9397 7363",,https://passionfoods.com.au,,"Organic fruit; vegetables; grocery items","organic",,Retail,,https://passionfoods.com.au,2025-12-09
16,Organically Grown (Malvern),Organic Grocery Store,Organic Grocer,"Family-run store providing 100% certified organic fruit, vegetables and groceries; emphasizes Australian-sourced organic produce.","196 Glenferrie Road",Malvern,Melbourne,Victoria,3144,,,"(03) 9500 9796",organicallygrownmalvern@gmail.com,https://organicallygrown.com.au,https://www.facebook.com/organicallygrown,"100% organic fruit; vegetables; meat; dairy; bread; bulk foods; health foods; groceries","organic","NASAA certified organic",Retail,,https://organicallygrown.com.au,2025-12-09
17,Terra Madre (Northcote),Organic Health Food Store,Organic Supermarket,"Well-known organic supermarket stocking a wide range of ACO-certified products in Melbourne’s north.","103 High Street",Northcote,Melbourne,Victoria,3070,,,"(03) 9489 5824",enquiries@terramadre.com.au,https://terramadre.com.au,https://www.instagram.com/terramadreorganics,"Organic fresh produce; groceries; packaged organic goods; health foods","organic","ACO certified",Retail,,https://terramadre.com.au,2025-12-09
18,Terra Madre (Brunswick),Organic Health Food Store,Organic Supermarket,"Second Terra Madre outlet offering a wide range of organic foods and pantry staples; ACO-certified range.","775–781 Sydney Road",Brunswick,Melbourne,Victoria,3056,,,"(03) 9384 0970",enquiries@terramadre.com.au,https://terramadre.com.au,,"Organic groceries; bulk foods; fresh produce; health foods","organic","ACO certified",Retail,,https://terramadre.com.au,2025-12-09
19,The Source Bulk Foods (Balaclava),Bulk Grocery Store,Bulk Wholefoods,"Zero-waste grocery store selling over 400 bulk wholefoods and eco-friendly products; encourages bringing your own containers.","171 Carlisle Street",Balaclava,Melbourne,Victoria,3183,,,"(03) 9525 7643",,https://thesourcebulkfoods.com.au,https://www.facebook.com/SourceBulkBalaclava,"Bulk nuts; seeds; grains; cereals; herbs; spices; flour; snacks; honey; oils; cleaning products; eco goods","organic",,Retail,,https://thesourcebulkfoods.com.au,2025-12-09
