collection,slug,title,country,region,city,address,lat,lon,listing_url,notes
farms,akarua,Akarua,NZ,Otago,Bannockburn,265 Arrowtown-Lake Hayes Road (tasting room),,,/farms/akarua/,Coordinates missing — address can be used for lookup
farms,ashley-river-organics,Ashley River Organics,New Zealand,Canterbury,Loburn,"35 Fletchers Road, Loburn, Rangiora 7472",,,/farms/ashley-river-organics/,Coordinates missing — address can be used for lookup
farms,awaroa-organic-winery,Awaroa Organic Winery,New Zealand,Auckland,Waiheke Island,"324 Waiheke Road, Waiheke Island",,,/farms/awaroa-organic-winery/,Coordinates missing — address can be used for lookup
farms,bayleaf-organics-haumoana,Bayleaf Organics,New Zealand,Hawke's Bay,Haumoana,"20 Palomino Road, RD 10, Haumoana, 4180, New Zealand",,,/farms/bayleaf-organics-haumoana/,Coordinates missing — address can be used for lookup
farms,biofarm,BioFarm,New Zealand,Manawatū-Whanganui,Palmerston North,"Te Matai Road, Palmerston North",,,/farms/biofarm/,Coordinates missing — address can be used for lookup
farms,blue-mountain-station,Blue Mountain Station,NZ,Otago,Tapanui,"815 Rae Road, Tapanui",,,/farms/blue-mountain-station/,Coordinates missing — address can be used for lookup
farms,cameron-family-farms,Cameron Family Farms,New Zealand,Wellington,Featherston,"10 Daniell Street, Featherston 5710",,,/farms/cameron-family-farms/,Coordinates missing — address can be used for lookup
farms,carrick-wines,Carrick Wines,NZ,Otago,Bannockburn,"247 Cairnmuir Road, Bannockburn",,,/farms/carrick-wines/,Coordinates missing — address can be used for lookup
farms,hamlin-road-farm,Hamlin Road Farm,New Zealand,Auckland,Ardmore,"140 Hamlin Road, Ardmore, Papakura 2582, Auckland",,,/farms/hamlin-road-farm/,Coordinates missing — address can be used for lookup
farms,jersey-girl-organics,Jersey Girl Organics,NZ,Waikato,Matamata,"74 Hinuera Road, RD 2, Matamata, 3472, New Zealand",,,/farms/jersey-girl-organics/,Coordinates missing — address can be used for lookup
farms,kahu-glen-farm,Kahu Glen Farm,New Zealand,Taranaki,Paraite,"175 Paraite Road, Paraite 4373",,,/farms/kahu-glen-farm/,Coordinates missing — address can be used for lookup
farms,kaitake-farm,Kaitake Farm,New Zealand,Taranaki,New Plymouth,"22 Kaitake Road, RD4, New Plymouth 4374",,,/farms/kaitake-farm/,Coordinates missing — address can be used for lookup
farms,kennedy-point-vineyard,Kennedy Point Vineyard,New Zealand,Auckland,Waiheke Island,"44 Donald Bruce Road, Waiheke Island",,,/farms/kennedy-point-vineyard/,Coordinates missing — address can be used for lookup
farms,martinborough-manor,Martinborough Manor,New Zealand,Wellington,Martinborough,"59 Cromarty Drive, Martinborough 5784",,,/farms/martinborough-manor/,Coordinates missing — address can be used for lookup
farms,milmore-downs,Milmore Downs,New Zealand,Canterbury,Scargill Valley,"Panets Road, Scargill Valley, Canterbury",,,/farms/milmore-downs/,Coordinates missing — address can be used for lookup
farms,olliff-farm,Olliff Farm,New Zealand,Auckland,Silverdale,"438 Waitoki Road, RD1 Silverdale, Auckland 0994",,,/farms/olliff-farm/,Coordinates missing — address can be used for lookup
farms,six-acres-farm,Six Acres Farm,New Zealand,Taranaki,Brixton,"141 Richmond Road, RD3, New Plymouth 4373",,,/farms/six-acres-farm/,Coordinates missing — address can be used for lookup
farms,streamside-organics,Streamside Organics,New Zealand,Canterbury,Southbridge,"1112 Leeston Road, Southbridge 7683",,,/farms/streamside-organics/,Coordinates missing — address can be used for lookup
farms,the-organic-farm,The Organic Farm,NZ,Hawke's Bay,Hastings,"300 Eastbourne Street West, Hastings 4122, New Zealand",,,/farms/the-organic-farm/,Coordinates missing — address can be used for lookup
farms,three-oaks-organic-farm,Three Oaks Organic Farm,New Zealand,Manawatū-Whanganui,Kairanga,"141 Aranui Road, RD5, Kairanga, Palmerston North",,,/farms/three-oaks-organic-farm/,Coordinates missing — address can be used for lookup
farms,tidal-organics,Tidal Organics,New Zealand,Auckland,Te Whau,"47 Margaret Reeve Lane, Te Whau, Waiheke Island",,,/farms/tidal-organics/,Coordinates missing — address can be used for lookup
farms,vagabond-vege,Vagabond Vege,New Zealand,Wellington,Greytown,"Monty's Lane, Te Hupenui/Greytown",,,/farms/vagabond-vege/,Coordinates missing — address can be used for lookup
farms,wind-river-organics,Wind River Organics,New Zealand,Manawatū-Whanganui,Palmerston North,"973 Fitzherbert Road East, RD1, Palmerston North",,,/farms/wind-river-organics/,Coordinates missing — address can be used for lookup
