collection,slug,title,country,region,city,address,listing_url
distributors,new-zealand-organic-meats,New Zealand Organic Meats,New Zealand,Otago,Tapanui,"869 Hukarere Station Road RD2, Tapanui 9587",/distributors/new-zealand-organic-meats/
distributors,free-farmed-nz,Free Farmed New Zealand Pork,New Zealand,Waikato,Hamilton,"6128 Great South Road, Horotiu, Hamilton 3288",/distributors/free-farmed-nz/
distributors,first-light-farms,First Light Farms,New Zealand,Hawke's Bay,Havelock North,"Unit 2B, 15 Joll Road, Havelock North 4130",/distributors/first-light-farms/
farms,rebel-gardens,Rebel Gardens,New Zealand,Wellington,Martinborough,Between Martinborough and Greytown,/farms/rebel-gardens/
farms,akarua,Akarua,NZ,Otago,Bannockburn,265 Arrowtown-Lake Hayes Road (tasting room),/farms/akarua/
farms,olliff-farm,Olliff Farm,New Zealand,Auckland,Silverdale,"438 Waitoki Road, RD1 Silverdale, Auckland 0994",/farms/olliff-farm/
farms,six-acres-farm,Six Acres Farm,New Zealand,Taranaki,Brixton,"141 Richmond Road, RD3, New Plymouth 4373",/farms/six-acres-farm/
farms,tidal-organics,Tidal Organics,New Zealand,Auckland,Te Whau,"47 Margaret Reeve Lane, Te Whau, Waiheke Island",/farms/tidal-organics/
farms,blue-mountain-station,Blue Mountain Station,NZ,Otago,Tapanui,"815 Rae Road, Tapanui",/farms/blue-mountain-station/
farms,wharerata-farm,Wharerata Farm,New Zealand,Wellington,Pirinoa,"Pirinoa, South Wairarapa",/farms/wharerata-farm/
farms,milmore-downs,Milmore Downs,New Zealand,Canterbury,Scargill Valley,"Panets Road, Scargill Valley, Canterbury",/farms/milmore-downs/
farms,streamside-organics,Streamside Organics,New Zealand,Canterbury,Southbridge,"1112 Leeston Road, Southbridge 7683",/farms/streamside-organics/
farms,ashley-river-organics,Ashley River Organics,New Zealand,Canterbury,Loburn,"35 Fletchers Road, Loburn, Rangiora 7472",/farms/ashley-river-organics/
farms,little-farms-market-garden,Little Farms Market Garden,New Zealand,Wellington,Pirinoa,"Pirinoa, South Wairarapa",/farms/little-farms-market-garden/
farms,bella-olea,Bella Olea,New Zealand,Wellington,Greytown,Tauherenikau / outskirts of Greytown,/farms/bella-olea/
farms,kaitake-farm,Kaitake Farm,New Zealand,Taranaki,New Plymouth,"22 Kaitake Road, RD4, New Plymouth 4374",/farms/kaitake-farm/
farms,three-oaks-organic-farm,Three Oaks Organic Farm,New Zealand,Manawatū-Whanganui,Kairanga,"141 Aranui Road, RD5, Kairanga, Palmerston North",/farms/three-oaks-organic-farm/
farms,hamlin-road-farm,Hamlin Road Farm,New Zealand,Auckland,Ardmore,"140 Hamlin Road, Ardmore, Papakura 2582, Auckland",/farms/hamlin-road-farm/
farms,bellbird-permaculture-farm,Bellbird Permaculture Farm,New Zealand,Manawatū-Whanganui,Mangamahu,"Mangamahu, Whanganui",/farms/bellbird-permaculture-farm/
farms,four-corners-organics,Four Corners Organics,New Zealand,Wellington,Masterton,"Masterton, Wairarapa",/farms/four-corners-organics/
farms,moonscape-wines,Moonscape Wines,NZ,Otago,Cromwell,"Cromwell, Otago",/farms/moonscape-wines/
farms,wind-river-organics,Wind River Organics,New Zealand,Manawatū-Whanganui,Palmerston North,"973 Fitzherbert Road East, RD1, Palmerston North",/farms/wind-river-organics/
farms,zany-zeus,Zany Zeus,NZ,Wellington,Lower Hutt,"129 Randwick Road, Moera, Lower Hutt, Wellington 5010, New Zealand",/farms/zany-zeus/
farms,the-organic-farm,The Organic Farm,NZ,Hawke's Bay,Hastings,"300 Eastbourne Street West, Hastings 4122, New Zealand",/farms/the-organic-farm/
farms,t-gasper,T Gasper,New Zealand,Wellington,Masterton,"Masterton, Wairarapa",/farms/t-gasper/
farms,the-egg-project,The Egg Project,New Zealand,Manawatū-Whanganui,Himatangi Beach,"Himatangi Beach, Manawatū-Whanganui",/farms/the-egg-project/
farms,jersey-girl-organics,Jersey Girl Organics,NZ,Waikato,Matamata,"74 Hinuera Road, RD 2, Matamata, 3472, New Zealand",/farms/jersey-girl-organics/
farms,kennedy-point-vineyard,Kennedy Point Vineyard,New Zealand,Auckland,Waiheke Island,"44 Donald Bruce Road, Waiheke Island",/farms/kennedy-point-vineyard/
farms,bayleaf-organics-haumoana,Bayleaf Organics,New Zealand,Hawke's Bay,Haumoana,"20 Palomino Road, RD 10, Haumoana, 4180, New Zealand",/farms/bayleaf-organics-haumoana/
farms,untamed-earth,Untamed Earth,New Zealand,Canterbury,Christchurch,"Christchurch, Canterbury (farm location not publicly listed)",/farms/untamed-earth/
farms,mycobio-ohau-gourmet-mushrooms,MycoBio (Ohau Gourmet Mushrooms),New Zealand,Manawatū-Whanganui,Ōhau,"Ōhau, Horowhenua",/farms/mycobio-ohau-gourmet-mushrooms/
farms,te-manaia-organics,Te Manaia Organics,New Zealand,Wellington,Masterton,Outskirts of Masterton (alluvial lands),/farms/te-manaia-organics/
