collection,slug,title,country,region,city,address,lat,lon,listing_url,query
farms,ahikaaroa-trust,Ahikaaroa Trust,NZ,Northland,Kaitaia,,,,/farms/ahikaaroa-trust/,"Ahikaaroa Trust, Kaitaia, Northland, NZ"
farms,figs-hawkes-bay,Figs Hawke's Bay,NZ,Hawke's Bay,Havelock North,,,,/farms/figs-hawkes-bay/,"Figs Hawke's Bay, Havelock North, Hawke's Bay, NZ"
farms,revival-market-garden,Revival Market Garden,New Zealand,Auckland,Waiheke Island,,,,/farms/revival-market-garden/,"Revival Market Garden, Waiheke Island, Auckland, New Zealand"
farms,allandale-regenerative-farm,Allandale Regenerative Farm,New Zealand,Canterbury,Amberley,,,,/farms/allandale-regenerative-farm/,"Allandale Regenerative Farm, Amberley, Canterbury, New Zealand"
farms,rebel-gardens,Rebel Gardens,New Zealand,Wellington,Martinborough,Between Martinborough and Greytown,,,/farms/rebel-gardens/,"Between Martinborough and Greytown, Martinborough, Wellington, New Zealand"
farms,frenz-eggs,FRENZ Eggs,NZ,Auckland,Papakura,,,,/farms/frenz-eggs/,"FRENZ Eggs, Papakura, Auckland, NZ"
farms,akarua,Akarua,NZ,Otago,Bannockburn,265 Arrowtown-Lake Hayes Road (tasting room),,,/farms/akarua/,"265 Arrowtown-Lake Hayes Road (tasting room), Bannockburn, Otago, NZ"
farms,olliff-farm,Olliff Farm,New Zealand,Auckland,Silverdale,"438 Waitoki Road, RD1 Silverdale, Auckland 0994",,,/farms/olliff-farm/,"438 Waitoki Road, RD1 Silverdale, Auckland 0994, Silverdale, Auckland, New Zealand"
farms,jj-organics-napier,JJ Organics,New Zealand,Hawke's Bay,Napier,,,,/farms/jj-organics-napier/,"JJ Organics, Napier, Hawke's Bay, New Zealand"
farms,farm-slug,Name of farm,Country name,Region or state,City or town,,,,/farms/farm-slug/,"Name of farm, City or town, Region or state, Country name"
farms,six-acres-farm,Six Acres Farm,New Zealand,Taranaki,Brixton,"141 Richmond Road, RD3, New Plymouth 4373",,,/farms/six-acres-farm/,"141 Richmond Road, RD3, New Plymouth 4373, Brixton, Taranaki, New Zealand"
farms,tidal-organics,Tidal Organics,New Zealand,Auckland,Te Whau,"47 Margaret Reeve Lane, Te Whau, Waiheke Island",,,/farms/tidal-organics/,"47 Margaret Reeve Lane, Te Whau, Waiheke Island, Te Whau, Auckland, New Zealand"
farms,uma-rapiti-farm,Uma Rapiti Farm,New Zealand,Auckland,Waiheke Island,,,,/farms/uma-rapiti-farm/,"Uma Rapiti Farm, Waiheke Island, Auckland, New Zealand"
farms,te-matuku-grove,Te Matuku Grove,New Zealand,Auckland,Waiheke Island,,,,/farms/te-matuku-grove/,"Te Matuku Grove, Waiheke Island, Auckland, New Zealand"
farms,artemis-ltd,Artemis Ltd,NZ,Otago,Dunedin,,,,/farms/artemis-ltd/,"Artemis Ltd, Dunedin, Otago, NZ"
farms,blue-mountain-station,Blue Mountain Station,NZ,Otago,Tapanui,"815 Rae Road, Tapanui",,,/farms/blue-mountain-station/,"815 Rae Road, Tapanui, Tapanui, Otago, NZ"
farms,moana-organics,Moana Organics,New Zealand,Wellington,Paekakariki,,-40.991,174.957,/farms/moana-organics/,"Moana Organics, Paekakariki, Wellington, New Zealand"
farms,cardrona-merino,Cardrona Merino,New Zealand,Otago,Cardrona Valley,,-44.7495794,169.1197983,/farms/cardrona-merino/,"Cardrona Merino, Cardrona Valley, Otago, New Zealand"
farms,wilderland-organics-whitianga,Wilderland Organics,New Zealand,Waikato,Whitianga,,-36.8333,175.7,/farms/wilderland-organics-whitianga/,"Wilderland Organics, Whitianga, Waikato, New Zealand"
farms,reikorangi-organic-gardens,Reikorangi Organic Gardens,New Zealand,Wellington,Waikanae,,,,/farms/reikorangi-organic-gardens/,"Reikorangi Organic Gardens, Waikanae, Wellington, New Zealand"
farms,kaiwhenua-organics,Kaiwhenua Organics,NZ,Waikato,Raglan,,,,/farms/kaiwhenua-organics/,"Kaiwhenua Organics, Raglan, Waikato, NZ"
