id	slug	collection	title	full_address
farms:akarua	akarua	farms	Akarua	265 Arrowtown-Lake Hayes Road (tasting room), Bannockburn, Otago, NZ
farms:ashley-river-organics	ashley-river-organics	farms	Ashley River Organics	35 Fletchers Road, Loburn, Rangiora 7472, Loburn, Canterbury, New Zealand
farms:awaroa-organic-winery	awaroa-organic-winery	farms	Awaroa Organic Winery	324 Waiheke Road, Waiheke Island, Waiheke Island, Auckland, New Zealand
farms:bayleaf-organics-haumoana	bayleaf-organics-haumoana	farms	Bayleaf Organics	20 Palomino Road, RD 10, Haumoana, 4180, New Zealand, Haumoana, Hawke's Bay, New Zealand
farms:biofarm	biofarm	farms	BioFarm	Te Matai Road, Palmerston North, Palmerston North, Manawatū-Whanganui, New Zealand
farms:blue-mountain-station	blue-mountain-station	farms	Blue Mountain Station	815 Rae Road, Tapanui, Tapanui, Otago, NZ
farms:cameron-family-farms	cameron-family-farms	farms	Cameron Family Farms	10 Daniell Street, Featherston 5710, Featherston, Wellington, New Zealand
farms:carrick-wines	carrick-wines	farms	Carrick Wines	247 Cairnmuir Road, Bannockburn, Bannockburn, Otago, NZ
farms:hamlin-road-farm	hamlin-road-farm	farms	Hamlin Road Farm	140 Hamlin Road, Ardmore, Papakura 2582, Auckland, Ardmore, Auckland, New Zealand
farms:jersey-girl-organics	jersey-girl-organics	farms	Jersey Girl Organics	74 Hinuera Road, RD 2, Matamata, 3472, New Zealand, Matamata, Waikato, NZ
farms:kahu-glen-farm	kahu-glen-farm	farms	Kahu Glen Farm	175 Paraite Road, Paraite 4373, Paraite, Taranaki, New Zealand
farms:kaitake-farm	kaitake-farm	farms	Kaitake Farm	22 Kaitake Road, RD4, New Plymouth 4374, New Plymouth, Taranaki, New Zealand
farms:kennedy-point-vineyard	kennedy-point-vineyard	farms	Kennedy Point Vineyard	44 Donald Bruce Road, Waiheke Island, Waiheke Island, Auckland, New Zealand
farms:martinborough-manor	martinborough-manor	farms	Martinborough Manor	59 Cromarty Drive, Martinborough 5784, Martinborough, Wellington, New Zealand
farms:milmore-downs	milmore-downs	farms	Milmore Downs	Panets Road, Scargill Valley, Canterbury, Scargill Valley, Canterbury, New Zealand
farms:olliff-farm	olliff-farm	farms	Olliff Farm	438 Waitoki Road, RD1 Silverdale, Auckland 0994, Silverdale, Auckland, New Zealand
farms:six-acres-farm	six-acres-farm	farms	Six Acres Farm	141 Richmond Road, RD3, New Plymouth 4373, Brixton, Taranaki, New Zealand
farms:streamside-organics	streamside-organics	farms	Streamside Organics	1112 Leeston Road, Southbridge 7683, Southbridge, Canterbury, New Zealand
farms:the-organic-farm	the-organic-farm	farms	The Organic Farm	300 Eastbourne Street West, Hastings 4122, New Zealand, Hastings, Hawke's Bay, NZ
farms:three-oaks-organic-farm	three-oaks-organic-farm	farms	Three Oaks Organic Farm	141 Aranui Road, RD5, Kairanga, Palmerston North, Kairanga, Manawatū-Whanganui, New Zealand
farms:tidal-organics	tidal-organics	farms	Tidal Organics	47 Margaret Reeve Lane, Te Whau, Waiheke Island, Te Whau, Auckland, New Zealand
farms:vagabond-vege	vagabond-vege	farms	Vagabond Vege	Monty's Lane, Te Hupenui/Greytown, Greytown, Wellington, New Zealand
farms:wind-river-organics	wind-river-organics	farms	Wind River Organics	973 Fitzherbert Road East, RD1, Palmerston North, Palmerston North, Manawatū-Whanganui, New Zealand
farms:zany-zeus	zany-zeus	farms	Zany Zeus	129 Randwick Road, Moera, Lower Hutt, Wellington 5010, New Zealand, Lower Hutt, Wellington, NZ
markets:amberley-farmers-market	amberley-farmers-market	markets	Amberley Farmers Market	122 Carters Road (Amberley Domain), Hurunui, Canterbury, NZ
markets:bangalow-farmers-market	bangalow-farmers-market	markets	Bangalow Farmers Market	Bangalow Hotel, 1 Byron St, Bangalow, New South Wales, AU
markets:bay-of-islands-farmers-market-kerikeri	bay-of-islands-farmers-market-kerikeri	markets	Bay Of Islands Farmers Market Kerikeri	Kerikeri Domain, Hobson Ave, Kerikeri, Northland, NZ
markets:bay-of-islands-farmers-market-paihia	bay-of-islands-farmers-market-paihia	markets	Bay Of Islands Farmers Market Paihia	Village Green, 60 Marsden Rd, Paihia, Northland, NZ
markets:bendigo-community-farmers-market	bendigo-community-farmers-market	markets	Bendigo Community Farmers Market	Sidney Myer Place, Bendigo, Victoria, AU
markets:byron-bay-farmers-market	byron-bay-farmers-market	markets	Byron Bay Farmers Market	Butler St Reserve, Byron Bay, New South Wales, AU
markets:cambridge-farmers-market	cambridge-farmers-market	markets	Cambridge Farmers Market	Victoria Square, Victoria Street, Cambridge, Waikato, NZ
markets:catalina-bay-farmers-market	catalina-bay-farmers-market	markets	Catalina Bay Farmers Market	Boundary Road, Catalina Bay, Hobsonville Point, Auckland 0618, Auckland, Auckland, New Zealand
markets:clevedon-village-farmers-market	clevedon-village-farmers-market	markets	Clevedon Village Farmers Market	107 Monument Road (Clevedon Showgrounds), Manukau, Auckland, NZ
markets:coburg-farmers-market	coburg-farmers-market	markets	Coburg Farmers Market	Coburg Primary School, 92 Bell Street, Melbourne, Victoria, AU
markets:feilding-farmers-market	feilding-farmers-market	markets	Feilding Farmers Market	Manchester Square, Manawatū, Manawatū-Whanganui, NZ
markets:ferrymead-night-market	ferrymead-night-market	markets	Ferrymead Night Market	Ferrymead Heritage Park, 50 Ferrymead Park Drive, Heathcote, Christchurch, Christchurch, Canterbury, New Zealand
markets:gasworks-farmers-market	gasworks-farmers-market	markets	Gasworks Farmers Market	21 Graham Street, Melbourne, Victoria, AU
markets:gisborne-farmers-market	gisborne-farmers-market	markets	Gisborne Farmers Market	Railway Station, Grey Street, Gisborne, Gisborne, NZ
markets:golden-bay-farmers-market	golden-bay-farmers-market	markets	Golden Bay Farmers Market	The Square / Village Green, Takaka, Tasman, NZ
markets:grey-lynn-farmers-market	grey-lynn-farmers-market	markets	Grey Lynn Farmers Market	510 Richmond Road (Grey Lynn Community Centre), Auckland, Auckland, NZ
markets:hamilton-farmers-market	hamilton-farmers-market	markets	Hamilton Farmers Market	Te Rapa Racecourse, Ken Browne Dr, Hamilton, Waikato, NZ
markets:hawke-s-bay-farmers-market-hastings	hawke-s-bay-farmers-market-hastings	markets	Hawke S Bay Farmers Market Hastings	Showground Hawke’s Bay, Kenilworth Rd, Hastings, Hawke's Bay, NZ
markets:hill-street-farmers-market	hill-street-farmers-market	markets	Hill Street Farmers Market	93 Hill Street, Wellington, Wellington, NZ
markets:jan-powers-farmers-market-mitchelton	jan-powers-farmers-market-mitchelton	markets	Jan Powers Farmers Market Mitchelton	Blackwood St (Mitchelton Marketplace), Brisbane, Queensland, AU
markets:jan-powers-farmers-market-powerhouse	jan-powers-farmers-market-powerhouse	markets	Jan Powers Farmers Market Powerhouse	Brisbane Powerhouse, 119 Lamington St, Brisbane, Queensland, AU
markets:lyttelton-farmers-market	lyttelton-farmers-market	markets	Lyttelton Farmers Market	London Street (near Lyttelton Main School), Christchurch, Canterbury, NZ
markets:mansfield-farmers-market	mansfield-farmers-market	markets	Mansfield Farmers Market	High Street, Mansfield, Victoria, AU
markets:marlborough-farmers-market	marlborough-farmers-market	markets	Marlborough Farmers Market	43 Hathaway Street (A&P Showgrounds), Blenheim, Marlborough, NZ
markets:matakana-village-farmers-market	matakana-village-farmers-market	markets	Matakana Village Farmers' Market	2 Matakana Valley Road, Matakana, Auckland, Matakana, Auckland, New Zealand
markets:mornington-peninsula-farmers-market	mornington-peninsula-farmers-market	markets	Mornington Peninsula Farmers Market	Main Street, Melbourne, Victoria, AU
markets:mullumbimby-farmers-market	mullumbimby-farmers-market	markets	Mullumbimby Farmers Market	Mullumbimby Showgrounds, 62 Main Arm Rd, Mullumbimby, New South Wales, AU
markets:napier-urban-farmers-market	napier-urban-farmers-market	markets	Napier Urban Farmers Market	Clive Square, Napier, Hawke's Bay, NZ
markets:nelson-farmers-market	nelson-farmers-market	markets	Nelson Farmers Market	Morrison Square (243 Trafalgar St), Nelson, Nelson, NZ
markets:northey-street-organic-farmers-market	northey-street-organic-farmers-market	markets	Northey Street Organic Farmers Market	Northey Street City Farm, 16 Victoria Street, Brisbane, Queensland, AU
markets:northland-farmers-market-whangarei	northland-farmers-market-whangarei	markets	Northland Farmers Market	Rust Ave, Whangārei, Northland, NZ
markets:oamaru-organics	oamaru-organics	markets	Oamaru Organics	469 Alma-Maheno Road, Alma, Oamaru 9492, Oamaru, Otago, New Zealand
markets:ohoka-farmers-market	ohoka-farmers-market	markets	Ohoka Farmers Market	Ohoka Domain, Whites Road, Ohoka, Ohoka, Canterbury, New Zealand
markets:original-matakana-market	original-matakana-market	markets	Original Matakana Market	30 Matakana Valley Road, Matakana 0985, Matakana, Auckland, New Zealand
markets:otago-farmers-market-dunedin	otago-farmers-market-dunedin	markets	Otago Farmers Market Dunedin	Anzac Avenue (Dunedin Railway Station), Dunedin, Otago, NZ
markets:palmerston-north-farmers-market	palmerston-north-farmers-market	markets	Palmerston North Farmers Market	The Square, Palmerston North, Manawatū-Whanganui, NZ
markets:parnell-farmers-market	parnell-farmers-market	markets	Parnell Farmers Market	Jubilee Building, 545 Parnell Road, Auckland, Auckland, NZ
markets:queen-victoria-market	queen-victoria-market	markets	Queen Victoria Market	513 Elizabeth Street, Melbourne, Victoria, AU
markets:rangitahi-farmers-market	rangitahi-farmers-market	markets	Rangitahi Farmers Market	29 Rangitahi Road, Raglan, Waikato, NZ
markets:riccarton-sunday-market	riccarton-sunday-market	markets	Riccarton Sunday Market	165 Racecourse Road, Riccarton Park, Christchurch, Christchurch, Canterbury, New Zealand
markets:riverside-market-christchurch	riverside-market-christchurch	markets	Riverside Market Christchurch	96 Oxford Terrace, Christchurch, Canterbury, NZ
markets:rotorua-farmers-market	rotorua-farmers-market	markets	Rotorua Farmers Market	Te Manawa, 1170 Amohau Street, Rotorua, Bay of Plenty, NZ
markets:south-christchurch-farmers-market	south-christchurch-farmers-market	markets	South Christchurch Farmers' Market	Next to South Christchurch Library, 70 Colombo Street, Cashmere, Christchurch, Christchurch, Canterbury, New Zealand
markets:southern-farmers-market-invercargill	southern-farmers-market-invercargill	markets	Southern Farmers Market Invercargill	South City Mall carpark, 249 Elles Rd, Invercargill, Southland, NZ
markets:taranaki-farmers-market	taranaki-farmers-market	markets	Taranaki Farmers Market	Currie Street (Huatoki Plaza), New Plymouth, Taranaki, NZ
