collection,slug,title,country,region,city,address,lat,lon,listing_url,query,needs,address_missing,address_incomplete,coords_missing,source_path
farms,rebel-gardens,Rebel Gardens,New Zealand,Wellington,Martinborough,Between Martinborough and Greytown,,,/farms/rebel-gardens/,"Between Martinborough and Greytown, Martinborough, Wellington, New Zealand",incomplete_address,false,true,true,_farms/rebel-gardens.md
farms,wharerata-farm,Wharerata Farm,New Zealand,Wellington,Pirinoa,"Pirinoa, South Wairarapa",-41.3522552,175.2060882,/farms/wharerata-farm/,"Pirinoa, South Wairarapa, Pirinoa, Wellington, New Zealand",incomplete_address,false,true,false,_farms/wharerata-farm.md
farms,little-farms-market-garden,Little Farms Market Garden,New Zealand,Wellington,Pirinoa,"Pirinoa, South Wairarapa",-41.3522552,175.2060882,/farms/little-farms-market-garden/,"Pirinoa, South Wairarapa, Pirinoa, Wellington, New Zealand",incomplete_address,false,true,false,_farms/little-farms-market-garden.md
farms,bella-olea,Bella Olea,New Zealand,Wellington,Greytown,Tauherenikau / outskirts of Greytown,,,/farms/bella-olea/,"Tauherenikau / outskirts of Greytown, Greytown, Wellington, New Zealand",incomplete_address,false,true,true,_farms/bella-olea.md
farms,bellbird-permaculture-farm,Bellbird Permaculture Farm,New Zealand,Manawatū-Whanganui,Mangamahu,"Mangamahu, Whanganui",-39.9333,175.05,/farms/bellbird-permaculture-farm/,"Mangamahu, Whanganui, Mangamahu, Manawatū-Whanganui, New Zealand",incomplete_address,false,true,false,_farms/bellbird-permaculture-farm.md
farms,moonscape-wines,Moonscape Wines,NZ,Otago,Cromwell,"Cromwell, Otago",-45.0610634,169.1927714,/farms/moonscape-wines/,"Cromwell, Otago, Cromwell, Otago, NZ",incomplete_address,false,true,false,_farms/moonscape-wines.md
farms,the-egg-project,The Egg Project,New Zealand,Manawatū-Whanganui,Himatangi Beach,"Himatangi Beach, Manawatū-Whanganui",-40.3849738,175.2773713,/farms/the-egg-project/,"Himatangi Beach, Manawatū-Whanganui, Himatangi Beach, Manawatū-Whanganui, New Zealand",incomplete_address,false,true,false,_farms/the-egg-project.md
farms,mycobio-ohau-gourmet-mushrooms,MycoBio (Ohau Gourmet Mushrooms),New Zealand,Manawatū-Whanganui,Ōhau,"Ōhau, Horowhenua",-40.66817,175.2483288,/farms/mycobio-ohau-gourmet-mushrooms/,"Ōhau, Horowhenua, Ōhau, Manawatū-Whanganui, New Zealand",incomplete_address,false,true,false,_farms/mycobio-ohau-gourmet-mushrooms.md
markets,coroglen-farmers-market,Coroglen Farmers Market,NZ,Waikato,Coroglen,Gumtown Hall,-36.9230256,175.6972105,/markets/coroglen-farmers-market/,"Gumtown Hall, Coroglen, Waikato, NZ",incomplete_address,false,true,false,_markets/coroglen-farmers-market.md
markets,remarkables-market-queenstown,Remarkables Market,NZ,Otago,Queenstown,Remarkables Park,,,/markets/remarkables-market-queenstown/,"Remarkables Park, Queenstown, Otago, NZ",incomplete_address,false,true,true,_markets/remarkables-market-queenstown.md
markets,wellington-harbourside-market,Wellington Harbourside Market,NZ,Wellington,Wellington,Waterloo Quay,-41.2787609,174.7817548,/markets/wellington-harbourside-market/,"Waterloo Quay, Wellington, Wellington, NZ",incomplete_address,false,true,false,_markets/wellington-harbourside-market.md
markets,napier-urban-farmers-market,Napier Urban Farmers Market,NZ,Hawke's Bay,Napier,Clive Square,-39.491882,176.9136186,/markets/napier-urban-farmers-market/,"Clive Square, Napier, Hawke's Bay, NZ",incomplete_address,false,true,false,_markets/napier-urban-farmers-market.md
markets,coromandel-homegrown-community-market,Coromandel Town Homegrown Community Market,NZ,Waikato,Coromandel,Hike 'n' Bike lawn,,,/markets/coromandel-homegrown-community-market/,"Hike 'n' Bike lawn, Coromandel, Waikato, NZ",incomplete_address,false,true,true,_markets/coromandel-homegrown-community-market.md
markets,whanganui-river-markets,Whanganui River Markets,NZ,Manawatū-Whanganui,Whanganui,"Whanganui Riverbank, Taupo Quay",,-39.9464,/markets/whanganui-river-markets/,"Whanganui Riverbank, Taupo Quay, Whanganui, Manawatū-Whanganui, NZ",incomplete_address,false,true,true,_markets/whanganui-river-markets.md
markets,kapiti-coast-farmers-market,Kapiti Coast Farmers Market,NZ,Wellington,Paraparaumu,Lindale,-40.9020098,175.0213117,/markets/kapiti-coast-farmers-market/,"Lindale, Paraparaumu, Wellington, NZ",incomplete_address,false,true,false,_markets/kapiti-coast-farmers-market.md
markets,motueka-sunday-market,Motueka Sunday Market,NZ,Tasman,Motueka,Decks Reserve,,,/markets/motueka-sunday-market/,"Decks Reserve, Motueka, Tasman, NZ",incomplete_address,false,true,true,_markets/motueka-sunday-market.md
markets,ballarat-farmers-market,Ballarat Farmers Market,AU,Victoria,Ballarat,Lake Wendouree,-37.5501895,143.8350306,/markets/ballarat-farmers-market/,"Lake Wendouree, Ballarat, Victoria, AU",incomplete_address,false,true,false,_markets/ballarat-farmers-market.md
markets,golden-bay-farmers-market,Golden Bay Farmers Market,NZ,Tasman,Takaka,The Square / Village Green,,,/markets/golden-bay-farmers-market/,"The Square / Village Green, Takaka, Tasman, NZ",incomplete_address,false,true,true,_markets/golden-bay-farmers-market.md
markets,palmerston-north-farmers-market,Palmerston North Farmers Market,NZ,Manawatū-Whanganui,Palmerston North,The Square,-40.3562278,175.6111936,/markets/palmerston-north-farmers-market/,"The Square, Palmerston North, Manawatū-Whanganui, NZ",incomplete_address,false,true,false,_markets/palmerston-north-farmers-market.md
stores,little-farms,Little Farms,New Zealand,Wellington,Masterton,Pirinoa / Wairarapa delivery network,,,/stores/little-farms/,"Pirinoa / Wairarapa delivery network, Masterton, Wellington, New Zealand",incomplete_address,false,true,true,_stores/little-farms.md
vendors,steampunk-coffee,Steampunk Coffee,New Zealand,Taranaki,Hāwera,"Bunnings Hawera Car Park, Hāwera",,,/vendors/steampunk-coffee/,"Bunnings Hawera Car Park, Hāwera, Hāwera, Taranaki, New Zealand",incomplete_address,false,true,true,_vendors/steampunk-coffee.md
