collection,slug,title,country,region,city,address,lat,lon,listing_url,query,needs,address_missing,address_incomplete,coords_missing,source_path
distributors,distributor-slug,Hub or distributor name,Country name,Region or state,City or town,,,,/distributors/distributor-slug/,"Hub or distributor name, City or town, Region or state, Country name",missing_address,true,false,true,_distributors/_template.md
distributors,supply-circle-hub,Supply Circle Hub,New Zealand,Canterbury,Christchurch,,-43.532,172.636,/distributors/supply-circle-hub/,"Supply Circle Hub, Christchurch, Canterbury, New Zealand",missing_address,true,false,false,_distributors/supply-circle-hub.md
farms,ahikaaroa-trust,Ahikaaroa Trust,NZ,Northland,Kaitaia,,,,/farms/ahikaaroa-trust/,"Ahikaaroa Trust, Kaitaia, Northland, NZ",missing_address,true,false,true,_farms/ahikaaroa-trust.md
farms,figs-hawkes-bay,Figs Hawke's Bay,NZ,Hawke's Bay,Havelock North,,,,/farms/figs-hawkes-bay/,"Figs Hawke's Bay, Havelock North, Hawke's Bay, NZ",missing_address,true,false,true,_farms/figs-hawkes-bay.md
farms,revival-market-garden,Revival Market Garden,New Zealand,Auckland,Waiheke Island,,,,/farms/revival-market-garden/,"Revival Market Garden, Waiheke Island, Auckland, New Zealand",missing_address,true,false,true,_farms/revival-market-garden.md
farms,allandale-regenerative-farm,Allandale Regenerative Farm,New Zealand,Canterbury,Amberley,,,,/farms/allandale-regenerative-farm/,"Allandale Regenerative Farm, Amberley, Canterbury, New Zealand",missing_address,true,false,true,_farms/allandale-regenerative-farm.md
farms,frenz-eggs,FRENZ Eggs,NZ,Auckland,Papakura,,,,/farms/frenz-eggs/,"FRENZ Eggs, Papakura, Auckland, NZ",missing_address,true,false,true,_farms/frenz-eggs.md
farms,jj-organics-napier,JJ Organics,New Zealand,Hawke's Bay,Napier,,,,/farms/jj-organics-napier/,"JJ Organics, Napier, Hawke's Bay, New Zealand",missing_address,true,false,true,_farms/jj-organics-napier.md
farms,farm-slug,Name of farm,Country name,Region or state,City or town,,,,/farms/farm-slug/,"Name of farm, City or town, Region or state, Country name",missing_address,true,false,true,_farms/_template.md
farms,uma-rapiti-farm,Uma Rapiti Farm,New Zealand,Auckland,Waiheke Island,,,,/farms/uma-rapiti-farm/,"Uma Rapiti Farm, Waiheke Island, Auckland, New Zealand",missing_address,true,false,true,_farms/uma-rapiti-farm.md
farms,te-matuku-grove,Te Matuku Grove,New Zealand,Auckland,Waiheke Island,,,,/farms/te-matuku-grove/,"Te Matuku Grove, Waiheke Island, Auckland, New Zealand",missing_address,true,false,true,_farms/te-matuku-grove.md
