collection,slug,title,country,region,city,address,lat,lon,needs_address,needs_coords,listing_url,source_path
distributors,distributor-slug,Hub or distributor name,Country name,Region or state,City or town,,,,true,true,/distributors/distributor-slug/,_distributors/_template.md
distributors,supply-circle-hub,Supply Circle Hub,New Zealand,Canterbury,Christchurch,,-43.532,172.636,true,false,/distributors/supply-circle-hub/,_distributors/supply-circle-hub.md
farms,ahikaaroa-trust,Ahikaaroa Trust,NZ,Northland,Kaitaia,,-35.1140609,173.264022,true,false,/farms/ahikaaroa-trust/,_farms/ahikaaroa-trust.md
farms,figs-hawkes-bay,Figs Hawke's Bay,NZ,Hawke's Bay,Havelock North,,-39.6702108,176.8771367,true,false,/farms/figs-hawkes-bay/,_farms/figs-hawkes-bay.md
farms,revival-market-garden,Revival Market Garden,New Zealand,Auckland,Waiheke Island,,-36.79310825,175.08838633700125,true,false,/farms/revival-market-garden/,_farms/revival-market-garden.md
farms,allandale-regenerative-farm,Allandale Regenerative Farm,New Zealand,Canterbury,Amberley,,-43.1512956,172.7329869,true,false,/farms/allandale-regenerative-farm/,_farms/allandale-regenerative-farm.md
farms,frenz-eggs,FRENZ Eggs,NZ,Auckland,Papakura,,-37.064265,174.9446665,true,false,/farms/frenz-eggs/,_farms/frenz-eggs.md
farms,jj-organics-napier,JJ Organics,New Zealand,Hawke's Bay,Napier,,-39.4902099,176.917839,true,false,/farms/jj-organics-napier/,_farms/jj-organics-napier.md
farms,farm-slug,Name of farm,Country name,Region or state,City or town,,,,true,true,/farms/farm-slug/,_farms/_template.md
farms,uma-rapiti-farm,Uma Rapiti Farm,New Zealand,Auckland,Waiheke Island,,-36.79310825,175.08838633700125,true,false,/farms/uma-rapiti-farm/,_farms/uma-rapiti-farm.md
farms,te-matuku-grove,Te Matuku Grove,New Zealand,Auckland,Waiheke Island,,-36.79310825,175.08838633700125,true,false,/farms/te-matuku-grove/,_farms/te-matuku-grove.md
farms,artemis-ltd,Artemis Ltd,NZ,Otago,Dunedin,,-45.8740984,170.5035755,true,false,/farms/artemis-ltd/,_farms/artemis-ltd.md
farms,moana-organics,Moana Organics,New Zealand,Wellington,Paekakariki,,-40.991,174.957,true,false,/farms/moana-organics/,_farms/moana-organics.md
farms,cardrona-merino,Cardrona Merino,New Zealand,Otago,Cardrona Valley,,-44.7495794,169.1197983,true,false,/farms/cardrona-merino/,_farms/cardrona-merino.md
farms,wilderland-organics-whitianga,Wilderland Organics,New Zealand,Waikato,Whitianga,,-36.8333,175.7,true,false,/farms/wilderland-organics-whitianga/,_farms/wilderland-organics-whitianga.md
farms,reikorangi-organic-gardens,Reikorangi Organic Gardens,New Zealand,Wellington,Waikanae,,-40.8758432,175.0643045,true,false,/farms/reikorangi-organic-gardens/,_farms/reikorangi-organic-gardens.md
farms,kaiwhenua-organics,Kaiwhenua Organics,NZ,Waikato,Raglan,,-37.7997729,174.8682464,true,false,/farms/kaiwhenua-organics/,_farms/kaiwhenua-organics.md
farms,waipuna-pastures,Waipuna Pastures,New Zealand,Canterbury,Geraldine,,-44.094,171.243,true,false,/farms/waipuna-pastures/,_farms/waipuna-pastures.md
farms,early-bird-organics,Early Bird Organics,NZ,Hawke's Bay,Wairoa,,-39.03939,177.4271389,true,false,/farms/early-bird-organics/,_farms/early-bird-organics.md
farms,durham-farms,Durham Farms,NZ,Northland,Waipu,,-35.9850068,174.4474971,true,false,/farms/durham-farms/,_farms/durham-farms.md
farms,forest-maker-honey,Forest Maker Honey,NZ,Wellington,Wellington,,-41.2887953,174.7772114,true,false,/farms/forest-maker-honey/,_farms/forest-maker-honey.md
farms,karaka-farm-kaikoura,Karaka Farm,New Zealand,Canterbury,Kaikōura Flats,,-42.401894,173.632338,true,false,/farms/karaka-farm-kaikoura/,_farms/karaka-farm-kaikoura.md
farms,kapiti-free-range-eggs,Kapiti Free Range Eggs,New Zealand,Wellington,Kapiti Coast,,-40.9047357,174.9861365,true,false,/farms/kapiti-free-range-eggs/,_farms/kapiti-free-range-eggs.md
farms,awarua-organics,AwaRua Organics,NZ,Southland,Invercargill,,-46.4118465,168.3470632,true,false,/farms/awarua-organics/,_farms/awarua-organics.md
farms,honeylicious,Honeylicious,NZ,Hawke's Bay,Hastings,,-39.6417678,176.8430781,true,false,/farms/honeylicious/,_farms/honeylicious.md
farms,coro-fresh-goodness-growers,Coro Fresh (Goodness Growers),New Zealand,Waikato,Coroglen,,-36.9237668,175.6916887,true,false,/farms/coro-fresh-goodness-growers/,_farms/coro-fresh-goodness-growers.md
farms,earthbound-honey,Earthbound Honey,New Zealand,Northland,Whangārei,,-35.7275268,174.3194202,true,false,/farms/earthbound-honey/,_farms/earthbound-honey.md
farms,coraltree-organic-products,CoralTree Organic Products,NZ,Hawke's Bay,Hastings,,-39.6417678,176.8430781,true,false,/farms/coraltree-organic-products/,_farms/coraltree-organic-products.md
farms,the-ata-farm,The Āta Farm,New Zealand,Auckland,Waiheke Island,,-36.79310825,175.08838633700125,true,false,/farms/the-ata-farm/,_farms/the-ata-farm.md
farms,untamed-earth,Untamed Earth,New Zealand,Canterbury,Christchurch,"Christchurch, Canterbury (farm location not publicly listed)",,,false,true,/farms/untamed-earth/,_farms/untamed-earth.md
markets,market-slug,Market name,Country name,Region or state,City or town,,,,true,true,/markets/market-slug/,_markets/_template.md
markets,old-packhouse-market,The Old Packhouse Market,New Zealand,Northland,Kerikeri,,-35.2272607,173.9491061,true,false,/markets/old-packhouse-market/,_markets/old-packhouse-market.md
markets,veg-out-st-kilda-farmers-market,Veg Out St Kilda Farmers' Market,AU,Victoria,Melbourne,Chaucer Street (Peanut Farm Reserve),,,false,true,/markets/veg-out-st-kilda-farmers-market/,_markets/veg-out-st-kilda-farmers-market.md
markets,northland-farmers-market-whangarei,Northland Farmers Market,NZ,Northland,Whangārei,Rust Ave,,,false,true,/markets/northland-farmers-market-whangarei/,_markets/northland-farmers-market.md
markets,harbour-harvest-market,Harbour Harvest Market,New Zealand,Wellington,Te Aro,,-41.292,174.778,true,false,/markets/harbour-harvest-market/,_markets/harbour-harvest-market.md
markets,west-coast-farmers-market-greymouth,West Coast Farmers Market,NZ,West Coast,Greymouth,,-42.4499469,171.2079875,true,false,/markets/west-coast-farmers-market-greymouth/,_markets/west-coast-farmers-market-greymouth.md
markets,jan-powers-farmers-market,Jan Powers Farmers Market,Australia,,,,-24.7761086,134.755,true,false,/markets/jan-powers-farmers-market/,_markets/jan-powers-farmers-market.md
restaurants,origine-bistro-auckland,Origine Bistro,New Zealand,Auckland,Auckland,,-36.852095,174.7631803,true,false,/restaurants/origine-bistro-auckland/,_restaurants/origine-bistro-auckland.md
restaurants,dripping-bowl-wanaka,Dripping Bowl,New Zealand,Otago,Wānaka,,-44.6941691,169.1364637,true,false,/restaurants/dripping-bowl-wanaka/,_restaurants/dripping-bowl-wanaka.md
restaurants,federal-diner-wanaka,Federal Diner,New Zealand,Otago,Wānaka,,-44.6941691,169.1364637,true,false,/restaurants/federal-diner-wanaka/,_restaurants/federal-diner-wanaka.md
restaurants,aro-cafe-wellington,Aro Cafe,New Zealand,Wellington,Wellington,,-41.2887953,174.7772114,true,false,/restaurants/aro-cafe-wellington/,_restaurants/aro-cafe-wellington.md
restaurants,good-earth-cafe-dunedin,The Good Earth Cafe,New Zealand,Otago,Dunedin,,-45.8632318,170.5129146,true,false,/restaurants/good-earth-cafe-dunedin/,_restaurants/good-earth-cafe-dunedin.md
restaurants,the-origin-christchurch,The Origin,New Zealand,Canterbury,Christchurch,,-43.530955,172.6364343,true,false,/restaurants/the-origin-christchurch/,_restaurants/the-origin-christchurch.md
restaurants,restaurant-slug,Restaurant or café name,Country name,Region or state,City or town,,,,true,true,/restaurants/restaurant-slug/,_restaurants/_template.md
restaurants,the-lotus-heart-christchurch,The Lotus-Heart,New Zealand,Canterbury,Christchurch,,-43.530955,172.6364343,true,false,/restaurants/the-lotus-heart-christchurch/,_restaurants/the-lotus-heart-christchurch.md
